,Year,Month,Day,Trains
454,2020,3,30,1095
455,2020,3,31,1101
456,2020,4,1,1105
457,2020,4,2,1101
458,2020,4,3,1109
459,2020,4,4,962
460,2020,4,5,883
461,2020,4,6,1120
462,2020,4,7,1126
463,2020,4,8,1133
464,2020,4,9,1128
465,2020,4,10,1137
466,2020,4,11,907
467,2020,4,12,845
468,2020,4,13,861
469,2020,4,14,1126
470,2020,4,15,1127
471,2020,4,16,1134
472,2020,4,17,1126
473,2020,4,18,959
474,2020,4,19,862
475,2020,4,20,1121
476,2020,4,21,1130
477,2020,4,22,1126
478,2020,4,23,1130
479,2020,4,24,1132
480,2020,4,25,680
481,2020,4,26,625
482,2020,4,27,949
483,2020,4,28,1058
484,2020,4,29,996
485,2020,4,30,991
486,2020,5,1,771
487,2020,5,2,733
488,2020,5,3,698
489,2020,5,4,1044
490,2020,5,5,894
491,2020,5,6,1055
492,2020,5,7,1060
493,2020,5,8,1071
494,2020,5,9,902
495,2020,5,10,857
496,2020,5,11,1077
497,2020,5,12,1073
498,2020,5,13,1059
499,2020,5,14,1066
500,2020,5,15,1074
501,2020,5,16,901
502,2020,5,17,826
503,2020,5,18,1063
504,2020,5,19,998
505,2020,5,20,1060
506,2020,5,21,894
507,2020,5,22,1055
508,2020,5,23,848
509,2020,5,24,798
510,2020,5,25,1158
511,2020,5,26,1075
512,2020,5,27,1075
513,2020,5,28,1086
514,2020,5,29,1102
515,2020,5,30,927
516,2020,5,31,840
517,2020,6,1,920
518,2020,6,2,1088
519,2020,6,3,1044
520,2020,6,4,1040
521,2020,6,5,1075
522,2020,6,6,930
523,2020,6,7,824
524,2020,6,8,1008
525,2020,6,9,1071
526,2020,6,10,1037
527,2020,6,11,1013
528,2020,6,12,1102
529,2020,6,13,889
530,2020,6,14,803
531,2020,6,15,1051
532,2020,6,16,1067
533,2020,6,17,1059
534,2020,6,18,1045
535,2020,6,19,1079
536,2020,6,20,893
537,2020,6,21,830
538,2020,6,22,1017
539,2020,6,23,1019
540,2020,6,24,1015
541,2020,6,25,1088
542,2020,6,26,1030
543,2020,6,27,897
544,2020,6,28,745
545,2020,6,29,1030
546,2020,6,30,1041
547,2020,7,1,1050
548,2020,7,2,1041
549,2020,7,3,1302
550,2020,7,4,1126
551,2020,7,5,1038
552,2020,7,6,1092
553,2020,7,7,1060
554,2020,7,8,1053
555,2020,7,9,1069
556,2020,7,10,1071
557,2020,7,11,910
558,2020,7,12,820
559,2020,7,13,1040
560,2020,7,14,993
561,2020,7,15,998
562,2020,7,16,958
563,2020,7,17,1067
564,2020,7,18,979
565,2020,7,19,890
566,2020,7,20,1011
567,2020,7,21,1051
568,2020,7,22,1089
569,2020,7,23,1109
570,2020,7,24,1262
571,2020,7,25,1149
572,2020,7,26,1050
573,2020,7,27,972
574,2020,7,28,962
575,2020,7,29,963
576,2020,7,30,1033
577,2020,7,31,1069
578,2020,8,1,933
579,2020,8,2,802
580,2020,8,3,972
581,2020,8,4,973
582,2020,8,5,989
583,2020,8,6,1033
584,2020,8,7,1124
585,2020,8,8,989
586,2020,8,9,936
587,2020,8,10,1039
588,2020,8,11,1057
589,2020,8,12,1149
590,2020,8,13,1063
591,2020,8,14,981
592,2020,8,15,871
593,2020,8,16,811
594,2020,8,17,990
595,2020,8,18,1032
596,2020,8,19,969
597,2020,8,20,972
598,2020,8,21,978
599,2020,8,22,875
600,2020,8,23,788
601,2020,8,24,1058
602,2020,8,25,1044
603,2020,8,26,1050
604,2020,8,27,936
605,2020,8,28,881
606,2020,8,29,776
607,2020,8,30,746
608,2020,8,31,1038
609,2020,9,1,1040
610,2020,9,2,1046
611,2020,9,3,1087
612,2020,9,4,1109
613,2020,9,5,916
614,2020,9,6,851
615,2020,9,7,1033
616,2020,9,8,1040
617,2020,9,9,1049
618,2020,9,10,1051
619,2020,9,11,925
620,2020,9,12,781
621,2020,9,13,724
622,2020,9,14,1037
623,2020,9,15,1058
624,2020,9,16,1071
625,2020,9,17,1050
626,2020,9,18,1060
627,2020,9,19,906
628,2020,9,20,818
629,2020,9,21,1087
630,2020,9,22,1049
631,2020,9,23,1059
632,2020,9,24,1040
633,2020,9,25,1064
634,2020,9,26,907
635,2020,9,27,781
636,2020,9,28,1104
637,2020,9,29,1039
638,2020,9,30,1043
639,2020,10,1,1064
640,2020,10,2,1059
641,2020,10,3,916
642,2020,10,4,836
643,2020,10,5,1054
644,2020,10,6,1053
645,2020,10,7,1054
646,2020,10,8,1095
647,2020,10,9,1090
648,2020,10,10,889
649,2020,10,11,749
650,2020,10,12,1060
651,2020,10,13,1102
652,2020,10,14,1042
653,2020,10,15,1069
654,2020,10,16,1059
655,2020,10,17,911
656,2020,10,18,843
657,2020,10,19,1110
658,2020,10,20,1117
659,2020,10,21,1081
660,2020,10,22,891
661,2020,10,23,914
662,2020,10,24,768
663,2020,10,25,686
664,2020,10,26,1121
665,2020,10,27,1071
666,2020,10,28,1072
667,2020,10,29,1076
668,2020,10,30,1119
